feature,perm_importance_mean,perm_importance_std
total_debt_minutes,0.35754436013695745,0.013789651687296874
n_distinct_rules,0.019674349366254985,0.0003269690962254573
n_bug,0.019020578767161032,0.0005008211149065073
max_single_commit_churn_pre,0.006051368120125922,0.001756562820711024
n_vulnerability,0.0041822045509981145,0.0002908580869992342
issue_density,0.0014317104337289387,0.0001877634540694727
code_added_pre,0.0013075411981878782,0.00024020554283746002
days_since_last_change_at_snapshot,0.0011699211319576408,0.00034785907317278137
project_function_complexity,0.0008884574808199153,0.00025080543319899945
file_age_days_at_snapshot,0.0005936433783266581,0.000338928318621574
ownership_ratio_pre,0.0004856352154792631,0.00044958385097318686
cocg_strength_sum,0.0004516066214222958,0.00027378771893294426
std_change_size_pre,0.00044227134340668606,0.00025967406039534085
linked_jira_issues_pre,0.0004384569287336548,0.00016559566204489757
project_comment_lines_density,0.0004177787860323523,0.00019667757026984163
