variant,model,fold,n_train,n_test,n_pos_test,precision,recall,f1,roc_auc,pr_auc,mcc,ce_at_20,method,brier,nll,ece
consequence,logistic_regression,1,21519,2392,354,0.37280701754385964,0.7203389830508474,0.4913294797687861,0.8453881893736521,0.5246097316839529,0.4006492720967755,0.615819209039548,uncalibrated,,,
consequence,logistic_regression,2,21520,2391,354,0.36133333333333334,0.7655367231638418,0.49094202898550726,0.8362129696657041,0.5050145226130234,0.4059804199674711,0.5903954802259888,uncalibrated,,,
consequence,logistic_regression,3,21520,2391,354,0.3622795115332429,0.7542372881355932,0.4894592117323556,0.8360236750067259,0.5057224170441581,0.40264022813924705,0.576271186440678,uncalibrated,,,
consequence,logistic_regression,4,21520,2391,353,0.359504132231405,0.7393767705382436,0.48378127896200185,0.8215505953456563,0.5042803209586759,0.3943800798607872,0.56657223796034,uncalibrated,,,
consequence,logistic_regression,5,21520,2391,353,0.3575418994413408,0.7252124645892352,0.47895229186155286,0.8277250651224468,0.4693648402427441,0.38686716657701936,0.5637393767705382,uncalibrated,,,
consequence,logistic_regression,6,21520,2391,353,0.3656207366984993,0.7592067988668555,0.49355432780847147,0.84968738445457,0.565566201321608,0.4085770859737,0.6288951841359773,uncalibrated,,,
consequence,logistic_regression,7,21520,2391,353,0.3736413043478261,0.7790368271954674,0.5050505050505051,0.8526550776048284,0.5340136125036136,0.4248609404426227,0.6345609065155807,uncalibrated,,,
consequence,logistic_regression,8,21520,2391,353,0.3447332421340629,0.7138810198300283,0.46494464944649444,0.8265352078219217,0.5153177537603523,0.36870003923931266,0.5779036827195467,uncalibrated,,,
consequence,logistic_regression,9,21520,2391,353,0.374079528718704,0.7195467422096318,0.49224806201550386,0.8296794335389637,0.5009093933792846,0.4020047553033542,0.5835694050991501,uncalibrated,,,
consequence,logistic_regression,10,21520,2391,353,0.3631123919308357,0.7138810198300283,0.4813753581661891,0.8267249455807087,0.5412752483760302,0.38844244892926383,0.6005665722379604,uncalibrated,,,
consequence,logistic_regression,1,21519,2392,354,0.875,0.09887005649717515,0.17766497461928935,0.8348538780126744,0.5186329839938029,0.2669975019665364,0.6016949152542372,platt,0.10240032730209757,0.3440749547215288,0.0669930166756727
consequence,logistic_regression,2,21520,2391,354,0.7804878048780488,0.0903954802259887,0.1620253164556962,0.8302331999256689,0.5033832502974585,0.23520940037886423,0.5932203389830508,platt,0.10342629645033861,0.34729273339356337,0.07414722497973492
consequence,logistic_regression,3,21520,2391,354,0.75,0.0847457627118644,0.15228426395939088,0.8339296461784668,0.5055352147072508,0.22107659841846314,0.5875706214689266,platt,0.10298801145136975,0.346337642244225,0.0714601264674515
consequence,logistic_regression,4,21520,2391,353,0.8536585365853658,0.09915014164305949,0.17766497461928935,0.807058244626877,0.49722543543498293,0.26288517599792494,0.5750708215297451,platt,0.10404434580391853,0.3516963437416059,0.06733413538764658
consequence,logistic_regression,5,21520,2391,353,0.7631578947368421,0.0821529745042493,0.1483375959079284,0.8182979480521646,0.4597793459514847,0.22050263738732306,0.56657223796034,platt,0.10601963794683274,0.3535471127300343,0.06090716773152311
consequence,logistic_regression,6,21520,2391,353,0.84,0.11898016997167139,0.20843672456575682,0.8372494836074916,0.5625993299878299,0.285238600883045,0.6260623229461756,platt,0.09941669921969613,0.3382312737354793,0.07517761889585321
consequence,logistic_regression,7,21520,2391,353,0.75,0.0764872521246459,0.13881748071979436,0.8443622170266356,0.5274424722900892,0.2099443715488315,0.6288951841359773,platt,0.10211083908888136,0.3437709294161662,0.08036142188534254
consequence,logistic_regression,8,21520,2391,353,0.8431372549019608,0.12181303116147309,0.21287128712871287,0.8059281581954203,0.5065966221917702,0.2894440350517953,0.546742209631728,platt,0.10270719409228794,0.34866180106046524,0.054143641666420717
consequence,logistic_regression,9,21520,2391,353,0.7804878048780488,0.0906515580736544,0.16243654822335024,0.8208319548966242,0.4966364839782328,0.23564025651238607,0.5892351274787535,platt,0.10343688471388697,0.3479820727822757,0.06656614864982423
consequence,logistic_regression,10,21520,2391,353,0.8666666666666667,0.11048158640226628,0.19597989949748743,0.8142237988140347,0.5239829943177783,0.28072378636452777,0.5637393767705382,platt,0.10195060598150242,0.3457523482447584,0.059137172380183116
consequence,logistic_regression,1,21519,2392,354,0.717948717948718,0.15819209039548024,0.25925925925925924,0.8216839096710523,0.5154195867866084,0.29468902133782937,0.5988700564971752,isotonic,0.10720998749761322,0.3600491139373187,0.09160788246560414
consequence,logistic_regression,2,21520,2391,354,0.6891891891891891,0.1440677966101695,0.2383177570093458,0.8178167183933391,0.4875057484320597,0.272295259887005,0.5847457627118644,isotonic,0.10937339397412812,0.36577548778726215,0.09710578740555188
consequence,logistic_regression,3,21520,2391,354,0.7361111111111112,0.1497175141242938,0.24882629107981222,0.8258024568089218,0.4961695452032089,0.2917540672698806,0.5875706214689266,isotonic,0.10967379945373612,0.36681368479434623,0.0994569867920644
consequence,logistic_regression,4,21520,2391,353,0.7662337662337663,0.1671388101983003,0.2744186046511628,0.7920091908136344,0.48555595088368597,0.3180983994442165,0.5410764872521246,isotonic,0.11187135450080753,0.373471683094869,0.09185137715155735
consequence,logistic_regression,5,21520,2391,353,0.6507936507936508,0.11614730878186968,0.1971153846153846,0.8019290700486785,0.4371106464333197,0.23333084946444493,0.5382436260623229,isotonic,0.11167950933113349,0.3700874552483998,0.0810019463928558
consequence,logistic_regression,6,21520,2391,353,0.8505747126436781,0.2096317280453258,0.33636363636363636,0.8299289421668192,0.5598987830403291,0.38505731989690645,0.6260623229461756,isotonic,0.10553283668856311,0.35721164940605993,0.10252244231746459
consequence,logistic_regression,7,21520,2391,353,0.6951219512195121,0.16147308781869688,0.2620689655172414,0.8296259177608443,0.5155689601043881,0.29084212006028065,0.6062322946175638,isotonic,0.1078867934208384,0.3610944720619314,0.09950010551854825
consequence,logistic_regression,8,21520,2391,353,0.8192771084337349,0.19263456090651557,0.3119266055045872,0.7929717798096785,0.495777348428616,0.3590442026413688,0.5524079320113314,isotonic,0.1110784694342262,0.3719946635790676,0.10095908664901192
consequence,logistic_regression,9,21520,2391,353,0.7164179104477612,0.1359773371104816,0.22857142857142856,0.8144031114212401,0.488725397320358,0.27224161131491814,0.5779036827195467,isotonic,0.10905005309566228,0.3636143473364552,0.08521647331110518
consequence,logistic_regression,10,21520,2391,353,0.8695652173913043,0.16997167138810199,0.2843601895734597,0.7968527162384941,0.5079196234776168,0.3508145562714711,0.5297450424929179,isotonic,0.10807089858924611,0.36283590296720986,0.08912750535410421
consequence,random_forest,1,21519,2392,354,0.755,0.4265536723163842,0.5451263537906137,0.920075070829383,0.7105074447841118,0.5163517511742957,0.7711864406779662,uncalibrated,,,
consequence,random_forest,2,21520,2391,354,0.7607655502392344,0.4491525423728814,0.5648312611012434,0.910697991119099,0.7091777542630013,0.5339288799728056,0.751412429378531,uncalibrated,,,
