variant,model,fold,n_train,n_test,n_pos_test,precision,recall,f1,roc_auc,pr_auc,mcc,ce_at_20
consequence,logistic_regression,1,21519,2392,354,0.37280701754385964,0.7203389830508474,0.4913294797687861,0.8453881893736521,0.5246097316839529,0.4006492720967755,0.615819209039548
consequence,logistic_regression,2,21520,2391,354,0.36133333333333334,0.7655367231638418,0.49094202898550726,0.8362129696657041,0.5050145226130234,0.4059804199674711,0.5903954802259888
consequence,logistic_regression,3,21520,2391,354,0.3622795115332429,0.7542372881355932,0.4894592117323556,0.8360236750067259,0.5057224170441581,0.40264022813924705,0.576271186440678
consequence,logistic_regression,4,21520,2391,353,0.359504132231405,0.7393767705382436,0.48378127896200185,0.8215505953456563,0.5042803209586759,0.3943800798607872,0.56657223796034
consequence,logistic_regression,5,21520,2391,353,0.3575418994413408,0.7252124645892352,0.47895229186155286,0.8277250651224468,0.4693648402427441,0.38686716657701936,0.5637393767705382
consequence,logistic_regression,6,21520,2391,353,0.3656207366984993,0.7592067988668555,0.49355432780847147,0.84968738445457,0.565566201321608,0.4085770859737,0.6288951841359773
consequence,logistic_regression,7,21520,2391,353,0.3736413043478261,0.7790368271954674,0.5050505050505051,0.8526550776048284,0.5340136125036136,0.4248609404426227,0.6345609065155807
consequence,logistic_regression,8,21520,2391,353,0.3447332421340629,0.7138810198300283,0.46494464944649444,0.8265352078219217,0.5153177537603523,0.36870003923931266,0.5779036827195467
consequence,logistic_regression,9,21520,2391,353,0.374079528718704,0.7195467422096318,0.49224806201550386,0.8296794335389637,0.5009093933792846,0.4020047553033542,0.5835694050991501
consequence,logistic_regression,10,21520,2391,353,0.3631123919308357,0.7138810198300283,0.4813753581661891,0.8267249455807087,0.5412752483760302,0.38844244892926383,0.6005665722379604
consequence,decision_tree,1,21519,2392,354,0.5220994475138122,0.5338983050847458,0.5279329608938548,0.7238194640807705,0.3463900174350044,0.4448960529632559,0.5536723163841808
consequence,decision_tree,2,21520,2391,354,0.5344352617079889,0.5480225988700564,0.5411436541143654,0.7327263423279499,0.3623467638967326,0.4602740257364819,0.5790960451977402
consequence,decision_tree,3,21520,2391,354,0.5225806451612903,0.4576271186440678,0.4879518072289157,0.6919531048484395,0.31944820413894914,0.4070132599189047,0.4830508474576271
consequence,decision_tree,4,21520,2391,353,0.5142857142857142,0.509915014164306,0.5120910384068279,0.7127731737219459,0.33318907816516496,0.4280089524253059,0.5439093484419264
consequence,decision_tree,5,21520,2391,353,0.49691358024691357,0.45609065155807366,0.4756277695716396,0.6883671988590714,0.30976305057835496,0.3898180112028724,0.49291784702549574
consequence,decision_tree,6,21520,2391,353,0.5192878338278932,0.49575070821529743,0.5072463768115942,0.7076551193054347,0.3312303411330073,0.42436544058119596,0.5155807365439093
consequence,decision_tree,7,21520,2391,353,0.4785100286532951,0.4730878186968839,0.4757834757834758,0.6915969108190834,0.3054148741776886,0.38559942867328734,0.5042492917847026
consequence,decision_tree,8,21520,2391,353,0.5071225071225072,0.5042492917847026,0.5056818181818182,0.7092008217799487,0.33111174818042016,0.42034900929767893,0.5212464589235127
consequence,decision_tree,9,21520,2391,353,0.5,0.48725212464589235,0.4935437589670014,0.7013006419113335,0.3193266060285087,0.4071934345516809,0.5155807365439093
consequence,decision_tree,10,21520,2391,353,0.4857142857142857,0.48158640226628896,0.48364153627311524,0.6962277631516763,0.31104161500176364,0.39465597503558175,0.5042492917847026
consequence,random_forest,1,21519,2392,354,0.755,0.4265536723163842,0.5451263537906137,0.920075070829383,0.7105074447841118,0.5163517511742957,0.7711864406779662
consequence,random_forest,2,21520,2391,354,0.7607655502392344,0.4491525423728814,0.5648312611012434,0.910697991119099,0.7091777542630013,0.5339288799728056,0.751412429378531
consequence,random_forest,3,21520,2391,354,0.7688442211055276,0.4322033898305085,0.5533453887884268,0.9163130392817619,0.7030014759174504,0.526662888411881,0.7627118644067796
consequence,random_forest,4,21520,2391,353,0.8031914893617021,0.42776203966005666,0.5582255083179297,0.9161713561315181,0.7048116303176206,0.5398469152114228,0.7422096317280453
consequence,random_forest,5,21520,2391,353,0.7678571428571429,0.3654390934844193,0.4952015355086372,0.908938385964132,0.671973170840029,0.4806411271049667,0.7110481586402266
consequence,random_forest,6,21520,2391,353,0.8148148148148148,0.43626062322946174,0.5682656826568265,0.9245086973564596,0.7348297907927145,0.5510030377546972,0.7620396600566572
consequence,random_forest,7,21520,2391,353,0.7860696517412935,0.4475920679886686,0.5703971119133574,0.9197471831240427,0.701540536902713,0.5452318459708236,0.7620396600566572
consequence,random_forest,8,21520,2391,353,0.7526315789473684,0.40509915014164305,0.5267034990791897,0.9080105474733603,0.6777768556103029,0.5010815545188494,0.7252124645892352
consequence,random_forest,9,21520,2391,353,0.8059701492537313,0.45892351274787535,0.5848375451263538,0.918774168976417,0.7217441005363872,0.5622271930737812,0.7450424929178471
