project_id,snapshot_id,snapshot_date,window_months,window_end,first_commit,last_commit,total_commits,pre_snapshot_commits,post_snapshot_commits,distinct_files_pre,distinct_authors_pre,eligible,exclusion_reason
org.apache:commons-fileupload,t50,2013-03-11 09:56:20+00:00,6,2013-09-11 09:56:20+00:00,2002-03-24 07:05:13+00:00,2021-09-28 15:09:19+00:00,1180,591,167,98,28,True,
org.apache:commons-fileupload,t75,2017-06-11 04:17:32+00:00,6,2017-12-11 04:17:32+00:00,2002-03-24 07:05:13+00:00,2021-09-28 15:09:19+00:00,1180,885,30,115,36,False,post<50
org.apache:commons-io,t25,2008-05-21 19:56:46+00:00,6,2008-11-21 19:56:46+00:00,2002-01-25 19:06:14+00:00,2021-09-28 18:37:41+00:00,3374,844,11,259,28,False,post<50
org.apache:commons-io,t50,2014-04-12 12:02:01+00:00,6,2014-10-12 12:02:01+00:00,2002-01-25 19:06:14+00:00,2021-09-28 18:37:41+00:00,3374,1687,12,362,32,False,post<50
org.apache:commons-io,t75,2020-08-15 02:08:45+00:00,6,2021-02-15 02:08:45+00:00,2002-01-25 19:06:14+00:00,2021-09-28 18:37:41+00:00,3374,2531,421,574,83,True,
org.apache:commons-jelly,t25,2002-10-17 07:51:31+00:00,6,2003-04-17 07:51:31+00:00,2002-02-11 00:27:41+00:00,2021-03-09 23:07:21+00:00,1945,487,538,465,11,False,pre<500
org.apache:commons-jelly,t50,2003-02-07 12:53:55+00:00,6,2003-08-07 12:53:55+00:00,2002-02-11 00:27:41+00:00,2021-03-09 23:07:21+00:00,1945,973,85,622,15,True,
org.apache:commons-jelly,t75,2004-09-12 16:03:01+00:00,6,2005-03-12 16:03:01+00:00,2002-02-11 00:27:41+00:00,2021-03-09 23:07:21+00:00,1945,1459,152,719,23,True,
org.apache:commons-jexl,t25,2006-04-30 12:20:24+00:00,6,2006-10-30 12:20:24+00:00,2002-04-26 04:23:17+00:00,2021-09-28 15:16:58+00:00,1927,483,73,150,16,False,pre<500
org.apache:commons-jexl,t50,2009-12-11 18:55:35+00:00,6,2010-06-11 18:55:35+00:00,2002-04-26 04:23:17+00:00,2021-09-28 15:16:58+00:00,1927,964,116,470,21,True,
org.apache:commons-jexl,t75,2017-03-13 12:29:30+00:00,6,2017-09-13 12:29:30+00:00,2002-04-26 04:23:17+00:00,2021-09-28 15:16:58+00:00,1927,1445,56,554,24,True,
org.apache:configuration,t25,2009-01-10 20:11:35+00:00,6,2009-07-10 20:11:35+00:00,2003-12-23 15:09:04+00:00,2021-09-28 15:05:21+00:00,3413,854,54,358,18,True,
org.apache:configuration,t50,2013-06-01 19:58:15+00:00,6,2013-12-01 19:58:15+00:00,2003-12-23 15:09:04+00:00,2021-09-28 15:05:21+00:00,3413,1707,184,648,21,True,
org.apache:configuration,t75,2015-05-16 17:35:12+00:00,6,2015-11-16 17:35:12+00:00,2003-12-23 15:09:04+00:00,2021-09-28 15:05:21+00:00,3413,2560,72,1475,23,True,
org.apache:daemon,t25,2007-07-31 18:13:25+00:00,6,2008-01-31 18:13:25+00:00,2003-09-04 23:28:19+00:00,2021-09-28 15:06:11+00:00,1251,313,8,208,15,False,"pre<500,post<50"
org.apache:daemon,t50,2010-10-02 15:25:47+00:00,6,2011-04-02 15:25:47+00:00,2003-09-04 23:28:19+00:00,2021-09-28 15:06:11+00:00,1251,626,101,228,18,True,
org.apache:daemon,t75,2017-11-03 12:34:35+00:00,6,2018-05-03 12:34:35+00:00,2003-09-04 23:28:19+00:00,2021-09-28 15:06:11+00:00,1251,939,41,244,24,False,post<50
org.apache:dbcp,t25,2009-02-22 19:35:59+00:00,6,2009-08-22 19:35:59+00:00,2001-04-14 17:14:51+00:00,2021-09-28 15:06:35+00:00,2465,617,35,152,28,False,post<50
org.apache:dbcp,t50,2014-02-07 12:26:29+00:00,6,2014-08-07 12:26:29+00:00,2001-04-14 17:14:51+00:00,2021-09-28 15:06:35+00:00,2465,1233,165,186,31,True,
org.apache:dbcp,t75,2018-06-18 22:16:09+00:00,6,2018-12-18 22:16:09+00:00,2001-04-14 17:14:51+00:00,2021-09-28 15:06:35+00:00,2465,1849,97,320,42,True,
org.apache:dbutils,t25,2009-02-28 20:19:43+00:00,6,2009-08-28 20:19:43+00:00,2003-11-02 19:15:24+00:00,2021-09-28 15:07:32+00:00,789,198,42,80,15,False,"pre<500,post<50"
org.apache:dbutils,t50,2011-09-25 14:51:27+00:00,6,2012-03-25 14:51:27+00:00,2003-11-02 19:15:24+00:00,2021-09-28 15:07:32+00:00,789,395,67,87,19,False,pre<500
org.apache:dbutils,t75,2015-04-15 14:43:54+00:00,6,2015-10-15 14:43:54+00:00,2003-11-02 19:15:24+00:00,2021-09-28 15:07:32+00:00,789,592,5,100,23,False,post<50
org.apache:digester,t25,2006-11-09 18:35:11+00:00,6,2007-05-09 18:35:11+00:00,2001-05-03 00:28:33+00:00,2021-09-28 15:07:55+00:00,2192,549,52,238,23,True,
org.apache:digester,t50,2011-02-19 17:06:55+00:00,6,2011-08-19 17:06:55+00:00,2001-05-03 00:28:33+00:00,2021-09-28 15:07:55+00:00,2192,1097,777,434,28,True,
org.apache:digester,t75,2011-06-01 18:45:31+00:00,6,2011-12-01 18:45:31+00:00,2001-05-03 00:28:33+00:00,2021-09-28 15:07:55+00:00,2192,1644,297,968,28,True,
org.apache:felix,t25,2009-08-25 16:34:22+00:00,6,2010-02-25 16:34:22+00:00,2005-07-19 10:41:53+00:00,2020-03-04 13:44:59+00:00,15556,3890,1446,3489,30,True,
org.apache:felix,t50,2011-06-29 22:31:28+00:00,6,2011-12-29 22:31:28+00:00,2005-07-19 10:41:53+00:00,2020-03-04 13:44:59+00:00,15556,7779,606,4564,38,True,
org.apache:felix,t75,2015-03-05 08:47:49+00:00,6,2015-09-05 08:47:49+00:00,2005-07-19 10:41:53+00:00,2020-03-04 13:44:59+00:00,15556,11667,650,6541,48,True,
org.apache:hive,t25,2014-04-28 17:25:29+00:00,6,2014-10-28 17:25:29+00:00,2008-09-02 23:58:59+00:00,2021-09-30 08:47:08+00:00,15733,3934,1150,9935,42,True,
org.apache:hive,t50,2015-12-20 19:04:56+00:00,6,2016-06-20 19:04:56+00:00,2008-09-02 23:58:59+00:00,2021-09-30 08:47:08+00:00,15733,7867,865,13771,118,True,
org.apache:hive,t75,2018-04-04 18:34:12+00:00,6,2018-10-04 18:34:12+00:00,2008-09-02 23:58:59+00:00,2021-09-30 08:47:08+00:00,15733,11800,1067,18114,245,True,
org.apache:httpclient,t25,2009-05-31 10:35:47+00:00,6,2009-11-30 10:35:47+00:00,2005-12-21 18:47:13+00:00,2021-09-27 12:35:24+00:00,3290,823,116,432,7,True,
org.apache:httpclient,t50,2012-06-07 19:43:22+00:00,6,2012-12-07 19:43:22+00:00,2005-12-21 18:47:13+00:00,2021-09-27 12:35:24+00:00,3290,1645,127,814,9,True,
org.apache:httpclient,t75,2015-04-29 10:32:24+00:00,6,2015-10-29 10:32:24+00:00,2005-12-21 18:47:13+00:00,2021-09-27 12:35:24+00:00,3290,2468,73,1066,13,True,
org.apache:httpcore,t25,2007-09-11 17:10:50+00:00,6,2008-03-11 17:10:50+00:00,2005-02-08 21:51:02+00:00,2021-09-29 07:27:20+00:00,3604,902,180,529,4,True,
org.apache:httpcore,t50,2012-01-17 20:23:33+00:00,6,2012-07-17 20:23:33+00:00,2005-02-08 21:51:02+00:00,2021-09-29 07:27:20+00:00,3604,1803,70,826,8,True,
org.apache:httpcore,t75,2017-04-15 17:02:35+00:00,6,2017-10-15 17:02:35+00:00,2005-02-08 21:51:02+00:00,2021-09-29 07:27:20+00:00,3604,2703,122,1344,13,True,
org.apache:jxpath,t25,2003-02-21 00:37:26+00:00,6,2003-08-21 00:37:26+00:00,2001-08-23 00:47:02+00:00,2020-05-26 12:44:19+00:00,601,151,16,240,6,False,"pre<500,post<50"
org.apache:jxpath,t50,2007-05-24 22:04:39+00:00,6,2007-11-24 22:04:39+00:00,2001-08-23 00:47:02+00:00,2020-05-26 12:44:19+00:00,601,301,69,284,15,False,pre<500
org.apache:jxpath,t75,2008-05-02 20:46:32+00:00,6,2008-11-02 20:46:32+00:00,2001-08-23 00:47:02+00:00,2020-05-26 12:44:19+00:00,601,451,38,301,18,False,"pre<500,post<50"
org.apache:net,t25,2008-04-06 23:07:06+00:00,6,2008-10-06 23:07:06+00:00,2002-04-03 01:04:21+00:00,2021-09-28 15:19:52+00:00,2497,625,67,249,20,True,
org.apache:net,t50,2011-03-25 00:12:09+00:00,6,2011-09-25 00:12:09+00:00,2002-04-03 01:04:21+00:00,2021-09-28 15:19:52+00:00,2497,1249,162,538,22,True,
org.apache:net,t75,2015-01-18 22:43:03+00:00,6,2015-07-18 22:43:03+00:00,2002-04-03 01:04:21+00:00,2021-09-28 15:19:52+00:00,2497,1873,30,573,23,False,post<50
org.apache:ognl,t25,2011-05-22 15:50:48+00:00,6,2011-11-22 15:50:48+00:00,2011-05-05 09:38:09+00:00,2021-09-28 15:20:22+00:00,745,187,343,320,6,False,pre<500
org.apache:ognl,t50,2011-10-20 15:29:54+00:00,6,2012-04-20 15:29:54+00:00,2011-05-05 09:38:09+00:00,2021-09-28 15:20:22+00:00,745,373,166,361,7,False,pre<500
org.apache:ognl,t75,2013-02-27 15:10:56+00:00,6,2013-08-27 15:10:56+00:00,2011-05-05 09:38:09+00:00,2021-09-28 15:20:22+00:00,745,559,34,482,8,False,post<50
org.apache:santuario,t25,2004-07-03 12:44:59+00:00,6,2005-01-03 12:44:59+00:00,2001-09-28 17:52:10+00:00,2020-05-15 07:25:56+00:00,2922,731,114,1013,8,True,
org.apache:santuario,t50,2007-02-09 16:12:38+00:00,6,2007-08-09 16:12:38+00:00,2001-09-28 17:52:10+00:00,2020-05-15 07:25:56+00:00,2922,1461,49,1335,11,False,post<50
org.apache:santuario,t75,2012-10-16 15:18:34+00:00,6,2013-04-16 15:18:34+00:00,2001-09-28 17:52:10+00:00,2020-05-15 07:25:56+00:00,2922,2192,44,2296,16,False,post<50
org.apache:thrift,t25,2009-04-02 23:49:18+00:00,6,2009-10-02 23:49:18+00:00,2006-05-24 21:45:31+00:00,2021-09-26 11:45:25+00:00,6386,1597,143,772,35,True,
org.apache:thrift,t50,2013-06-25 20:21:29+00:00,6,2013-12-25 20:21:29+00:00,2006-05-24 21:45:31+00:00,2021-09-26 11:45:25+00:00,6386,3193,178,1525,55,True,
org.apache:thrift,t75,2016-03-19 13:31:40+00:00,6,2016-09-19 13:31:40+00:00,2006-05-24 21:45:31+00:00,2021-09-26 11:45:25+00:00,6386,4790,121,2233,166,True,
org.apache:validator,t25,2004-04-09 00:16:39+00:00,6,2004-10-09 00:16:39+00:00,2002-01-06 00:47:39+00:00,2021-09-28 15:25:52+00:00,1548,388,31,160,11,False,"pre<500,post<50"
org.apache:validator,t50,2010-04-21 09:02:56+00:00,6,2010-10-21 09:02:56+00:00,2002-01-06 00:47:39+00:00,2021-09-28 15:25:52+00:00,1548,775,3,303,25,False,post<50
org.apache:validator,t75,2015-11-05 18:45:48+00:00,6,2016-05-05 18:45:48+00:00,2002-01-06 00:47:39+00:00,2021-09-28 15:25:52+00:00,1548,1161,97,309,35,True,
org.apache:vfs,t25,2008-06-10 12:51:58+00:00,6,2008-12-10 12:51:58+00:00,2002-07-16 17:19:16+00:00,2021-09-28 15:27:23+00:00,3074,769,4,422,17,False,post<50
org.apache:vfs,t50,2012-11-15 03:10:21+00:00,6,2013-05-15 03:10:21+00:00,2002-07-16 17:19:16+00:00,2021-09-28 15:27:23+00:00,3074,1537,76,485,21,True,
org.apache:vfs,t75,2019-08-16 17:38:20+00:00,6,2020-02-16 17:38:20+00:00,2002-07-16 17:19:16+00:00,2021-09-28 15:27:23+00:00,3074,2306,136,631,37,True,
org.apache:zookeeper,t25,2010-03-04 22:55:36+00:00,6,2010-09-04 22:55:36+00:00,2007-11-03 04:41:15+00:00,2021-09-27 15:48:29+00:00,2361,591,86,709,9,True,
org.apache:zookeeper,t50,2014-04-04 01:24:37+00:00,6,2014-10-04 01:24:37+00:00,2007-11-03 04:41:15+00:00,2021-09-27 15:48:29+00:00,2361,1181,91,1293,13,True,
org.apache:zookeeper,t75,2019-01-07 13:55:43+00:00,6,2019-07-07 13:55:43+00:00,2007-11-03 04:41:15+00:00,2021-09-27 15:48:29+00:00,2361,1771,158,1601,107,True,
