variant,model,method,precision_mean,recall_mean,f1_mean,roc_auc_mean,pr_auc_mean,mcc_mean,ce_at_20_mean,brier_mean,nll_mean,ece_mean,precision_std,recall_std,f1_std,roc_auc_std,pr_auc_std,mcc_std,ce_at_20_std,brier_std,nll_std,ece_std
consequence,lightgbm,isotonic,0.8213709153310559,0.3203853971607369,0.45952034971194083,0.8996940451858079,0.6674380723585074,0.4686457873230042,0.7149581472767721,0.08721077937816873,0.30036641660407315,0.08705072784927441,0.03507868906840074,0.04299977300624895,0.04487342883157009,0.01005581164433527,0.02316393417595806,0.038115947126304874,0.02064308393293022,0.002313211921592261,0.006533887710398387,0.004511089331846744
consequence,lightgbm,platt,0.7802671370430283,0.3679438549318993,0.498819518912524,0.9017932022346157,0.6629629757638367,0.4871186794501117,0.7223179846673389,0.08625468560511108,0.2975472183026932,0.08043377041487322,0.03573589295374774,0.03879370999022695,0.03611924295681058,0.009495670604807079,0.02439948094873643,0.031845501326479314,0.02366305425271042,0.0022452786221479662,0.006518641963587821,0.0060198262179078895
consequence,lightgbm,uncalibrated,0.5086328232951237,0.748926073526352,0.6056280201705181,0.9086727582644463,0.6857412490878032,0.5361033621253848,0.7240217025975897,,,,0.017338487472702672,0.017993636467009175,0.014511405922068888,0.005081400903763439,0.01963351806500929,0.01741303366100843,0.018508489129200813,,,
consequence,logistic_regression,isotonic,0.7511233335412426,0.16049519053792355,0.26412281221453177,0.8123023813132703,0.498965159011019,0.30681674075883214,0.5742857828779949,0.10914270959859547,0.365294846021292,0.09383495933578677,0.07330358904088816,0.026959677099600003,0.040416095817126595,0.015083729749375075,0.030911090004499493,0.04634278350336827,0.03243656344553056,0.002040277225199858,0.005339835635771994,0.007231444115751722
consequence,logistic_regression,platt,0.8102595962646933,0.09737280133160481,0.17365190656966958,0.8246968529336058,0.5101814133150679,0.25076623645096974,0.5878803156159472,0.1028500842050812,0.3467347212070102,0.06762276747196526,0.049972998081669565,0.015501231817381089,0.025496582849008766,0.013301246965792192,0.026415144241663625,0.029677317551547244,0.026362055151476087,0.0016843754771690928,0.004293367540372657,0.008007154720272516
consequence,logistic_regression,uncalibrated,0.363465309791311,0.7390254637409772,0.48716371937973674,0.8352182543515179,0.5166074041883443,0.39831024365295536,0.5938293241145308,,,,0.008918582013803905,0.023866423659938928,0.010695724095268632,0.010747750073992113,0.02636762557444498,0.015009538339649976,0.025265142976219294,,,
consequence,random_forest,isotonic,0.7977602526063705,0.3614250732222596,0.4963710858578524,0.9105165641731,0.6893407570341303,0.4900086460001278,0.7364654855075943,0.08054121893557045,0.2709290859303571,0.06011293641833602,0.030241060513598983,0.03560569221496987,0.03450482863095681,0.007537255860116346,0.022069331362319828,0.02889527818971623,0.024799986734145664,0.0022337913252685566,0.006145971279273909,0.0037691685270928124
consequence,random_forest,platt,0.7922565672148532,0.3823754421344089,0.5149613895072486,0.9086163794062798,0.684963652525821,0.5028364082698571,0.7339215121396905,0.08059675649831695,0.282467455252846,0.06679193597196306,0.03225301574756565,0.033102617406235255,0.03247775931557398,0.008886664932953892,0.023717674650725485,0.029443575966390027,0.02525103683809448,0.00258307595652609,0.007210599532210168,0.003797568838807254
consequence,random_forest,uncalibrated,0.7835250418426635,0.4288079576191162,0.5538889605839774,0.9151826626157475,0.703209404150625,0.5312347920408718,0.7455282405851379,,,,0.0257365247399452,0.026730031131002127,0.02616680122474879,0.005782184016243434,0.01856563363856961,0.025652897912558766,0.0202270806035266,,,
consequence,xgboost,isotonic,0.8253044732765634,0.3130351626894576,0.4530350353608255,0.9014645588218058,0.6716364898112083,0.46470312666593594,0.7214657255805765,0.08628599392446304,0.2966433878562639,0.0839810529913329,0.0348796294726375,0.03222303713869963,0.03620164655921933,0.009912824987428704,0.02680404691083233,0.03173696012490146,0.02612349271643182,0.001923468616006493,0.004944509388692337,0.005812454651664331
