variant,model,n_projects,precision_mean,recall_mean,f1_mean,roc_auc_mean,pr_auc_mean,mcc_mean,ce_at_20_mean,precision_std,recall_std,f1_std,roc_auc_std,pr_auc_std,mcc_std,ce_at_20_std
consequence,decision_tree,22,0.26577652905883403,0.2850818490439933,0.26640068286807395,0.5736124800639688,0.2152027329190301,0.13489807295253303,0.2865030576057413,0.14550975150259018,0.15921903015851216,0.13771449845101233,0.05964023868584688,0.06829700872882125,0.13209356780857645,0.11881073240567214
consequence,lightgbm,22,0.3660293489665188,0.4907742303976063,0.4014079842676445,0.7645708140182296,0.4591250360932835,0.29603215004192,0.48467735124757017,0.17183445471589784,0.20802209837352492,0.16296940095789986,0.07677409017970166,0.12511134081380304,0.14706110239269776,0.09729556561395714
consequence,logistic_regression,22,0.29839476490567624,0.6645083138290707,0.36302517272125406,0.7594926703654997,0.4551025100186857,0.22448487165957792,0.476103004840564,0.14517203331482761,0.29009042428039944,0.14686523747158778,0.07681649123749466,0.12469244629922989,0.1446790206680705,0.09124644904383732
consequence,random_forest,22,0.5576902897230593,0.12039981126771174,0.19048792610566692,0.7879836209400009,0.4862666305657891,0.21365818423431857,0.5021438801025131,0.33236313855554006,0.10231792227490585,0.1471931340294468,0.06673027133414978,0.12725890932629771,0.14781810451056684,0.10238976344549282
consequence,xgboost,22,0.5355043278154216,0.26585436506138144,0.33318851350425105,0.7824084967351048,0.4751037976827799,0.2827312125364577,0.4921430922277104,0.22226972642239165,0.1450755101211963,0.1424469673499121,0.06586433495042221,0.12540038791007918,0.15517929544958442,0.11117150387807008
severity,decision_tree,22,0.5702728875501738,0.43371563750091513,0.47886622304464477,0.7002341581091828,0.32197389375904856,0.44667086935378575,0.4824122536599375,0.23627293221478785,0.17759102013038677,0.1825651845650011,0.08684032652482143,0.19362541092092436,0.1754237315958925,0.1708302224095948
severity,lightgbm,22,0.584043582547271,0.6825572838976167,0.6020761073383416,0.9556900429124613,0.7023779240306735,0.5713998852891765,0.8710295909858903,0.18529042940535206,0.1617041096151981,0.15749777067134468,0.02976525736906968,0.18879988761929886,0.13582559841161915,0.14198510792702565
severity,logistic_regression,22,0.520645520403201,0.7726097205890692,0.5997728263678627,0.945905691788261,0.7017965802854073,0.5677476718383325,0.8836049484892975,0.21691334090721642,0.22598794687645637,0.19330115182697866,0.04835498838332031,0.19473693706540818,0.19342595462754705,0.12160536533748563
severity,random_forest,22,0.7605757950359369,0.26389570136875473,0.3762909733001534,0.9604571581628133,0.7026179120705831,0.4077013194634676,0.8733094179913159,0.28437845358339864,0.1511960217838214,0.1765496710851705,0.026682898888437133,0.1836608685224615,0.17068791341619402,0.14808746750618737
severity,xgboost,22,0.706993360321763,0.5032730778178113,0.5696297154147947,0.9585297583949269,0.7110371536504517,0.5530450947642515,0.8703084932848579,0.21548178572585958,0.2134512797909184,0.20488669878433233,0.034974773789622986,0.18854793185576735,0.194005860901405,0.15191145748154658
szz,decision_tree,16,0.02441620879120879,0.04247311827956989,0.02132711038961039,0.5001979098019526,0.039521833125367,0.007092357478670304,0.17719145168741943,0.06858028282684162,0.12604976012662664,0.0496136360803431,0.07741582377183932,0.03542140373403482,0.06018628617563904,0.1565631790617749
szz,lightgbm,16,0.12957516339869282,0.05531474014336918,0.038378580104731955,0.7133726001926569,0.1508337343565554,0.052464261324114546,0.4885615648216455,0.27788387055100866,0.1306820174356386,0.0681945243217768,0.13097841930327597,0.13553842583277562,0.09913070530514656,0.23450697385400057
szz,logistic_regression,16,0.12627173724649962,0.4116431451612903,0.10725818522160183,0.7747974560101808,0.18393778681517486,0.09991000322601479,0.5537960649855811,0.2514770372201742,0.415001630042824,0.1231154649283829,0.11718701675771175,0.15885080433334597,0.13908908764911077,0.249155369764371
szz,random_forest,16,0.0,0.0,0.0,0.7598149594242042,0.1681328820056964,0.0,0.5416457089844187,0.0,0.0,0.0,0.0969187393495569,0.1552760659056897,0.0,0.2071472726290364
szz,xgboost,16,0.0625,0.006944444444444444,0.0125,0.7732236948778589,0.13731830414762197,0.018468061812031193,0.5277357692680273,0.24999999999999997,0.027777777777777776,0.05,0.1081205459764143,0.14548628758489945,0.08086361941673248,0.29753671440583673
