feature,perm_importance_mean,perm_importance_std
project_function_complexity,0.10839564287661999,0.023516140793783925
days_since_last_change_at_snapshot,0.037692848634452325,0.008622678858168732
pseudo_ncloc_at_t,0.028278964967924324,0.004085754642351258
max_single_commit_churn_pre,0.011721609093127094,0.0021480883980222495
cocg_strength_sum,0.008577907260437233,0.0023471672246639205
linked_jira_issues_pre,0.006992781182278774,0.0019184426582014693
cocg_closeness,0.006191966015585826,0.001084035296587135
project_file_complexity,0.006188378134014583,0.0028030219090200968
issue_density,0.00453005927180361,0.0018048286822952499
code_churn_pre,0.004341336701158172,0.00115148082893562
debt_per_loc,0.004325550022244951,0.001427959917456794
cocg_strength_mean,0.003704846510426507,0.002684363317015368
code_added_pre,0.0028186397623387372,0.003782782066091025
project_duplicated_lines_density,0.002685888144204207,0.0012348414667136673
project_sqale_debt_ratio,0.0026779948047475077,0.0010730791771272324
