model,precision_mean,precision_std,precision_count,recall_mean,recall_std,recall_count,f1_mean,f1_std,f1_count,roc_auc_mean,roc_auc_std,roc_auc_count,pr_auc_mean,pr_auc_std,pr_auc_count,mcc_mean,mcc_std,mcc_count,ce_at_20_mean,ce_at_20_std,ce_at_20_count
lightgbm,0.4191489850071649,0.22811032753081265,20,0.29448981255151246,0.18208400863842283,20,0.3005862269937273,0.16192724061439354,20,0.7344426465998067,0.09423310368909897,20,0.3739751798202112,0.1511156724606956,20,0.23796543718159963,0.13750741203521258,20,0.47502692122097195,0.1031851225305079,20
logistic_regression,0.35427528299757494,0.2675810262705046,20,0.35230033683233447,0.3221694396035448,20,0.2465768254681901,0.15433760977889177,20,0.6598402933276712,0.14167073176340417,20,0.3237825706273864,0.14611152500876606,20,0.16894267113813957,0.1618745675866946,20,0.33599320986455894,0.17978035011806554,20
random_forest,0.43785729585337885,0.32212744471851334,20,0.12324784192919021,0.13382813746730937,20,0.15478958040044893,0.14835715108037154,20,0.7396386373223394,0.12619181422102882,20,0.38808110954993175,0.15680610802861367,20,0.13965890672072873,0.1467924924233181,20,0.4511955588095299,0.1436883038930699,20
xgboost,0.4573965282653898,0.30303294445534423,20,0.23237368727313285,0.19652225860883119,20,0.25831790961336043,0.17271720466817286,20,0.7185935597525442,0.1356034917653097,20,0.3665108934661801,0.14852840226689726,20,0.21713125986465548,0.16293750658597753,20,0.442909776941077,0.12096685445269244,20
