variant,model,precision_mean,recall_mean,f1_mean,roc_auc_mean,pr_auc_mean,mcc_mean,ce_at_20_mean,precision_std,recall_std,f1_std,roc_auc_std,pr_auc_std,mcc_std,ce_at_20_std
consequence,decision_tree,0.4873636132047318,0.47041900737824294,0.4783967567564864,0.6919353300902413,0.30809347106258994,0.3901002341206366,0.5004201277188265,0.023068800655415563,0.02181387139713964,0.01780139303725004,0.01034896271169105,0.014132150612666063,0.020953972843060647,0.017289104533262132
consequence,lightgbm,0.4807005276224695,0.7342168019077799,0.5807734456919232,0.8965760138030152,0.6516259876745398,0.5063876125182432,0.7019533938317248,0.013476997092399697,0.020919430906906754,0.01085766873234258,0.005005499539442336,0.022689687951896766,0.01343979081442141,0.014615728804511036
consequence,logistic_regression,0.3562712202480087,0.7367559738160401,0.48012168194252985,0.827138979289263,0.5053729274948032,0.3897002256811657,0.5859045149725517,0.013269444657072907,0.03239472045801414,0.016308467810605628,0.011390849020091518,0.030816283353090248,0.022826597322268202,0.029479948688770248
consequence,random_forest,0.7415695167097633,0.40673404715033373,0.5248106495520565,0.899902621295967,0.6627142347009213,0.4966739175563267,0.715803204174069,0.024034954024206596,0.027374001171851743,0.02482116990935125,0.006435993259485344,0.019337266903348277,0.02320768658356644,0.024633149182306243
consequence,xgboost,0.7231405203377266,0.44042829020022084,0.5468550578152456,0.8987840418575003,0.662377956749196,0.5095944497461286,0.703077735631632,0.021540821493774242,0.02662999602361781,0.020217778151601678,0.006772944698015103,0.016744956525869603,0.01850650725315746,0.020899987288935412
severity,decision_tree,0.6447029600760549,0.6225258799171842,0.633198069031763,0.7929579392730385,0.4386302344301842,0.5950962084458378,0.6680726519856954,0.03317555666706089,0.03893966115661421,0.0340680573885515,0.020401083153589218,0.03910536550597522,0.037269273309030515,0.03889409100521388
severity,lightgbm,0.601444085018237,0.8490043290043291,0.7038223135016561,0.9746250804816686,0.8159106139293557,0.6790338129200275,0.9596423865989083,0.016333240232308536,0.03459820736921572,0.01835595926559964,0.0036977287920853534,0.022345654720259546,0.02191432415063535,0.016410140411169685
severity,logistic_regression,0.5233993683731617,0.8650555241859589,0.6520136848046147,0.961780200291608,0.7572011326351783,0.6296996649082114,0.9236288349331827,0.02269755063174372,0.021729380949914848,0.021709106975389067,0.0055073103284965005,0.019294870078812268,0.02381376321297905,0.01851595948480185
severity,random_forest,0.8040193625187649,0.5908883869753435,0.6803021724777137,0.9743620851242625,0.8109409284624292,0.6615961284152891,0.9639770374552983,0.03055876909226732,0.03350306100129543,0.021848702751963572,0.004150199281865899,0.019176388467666176,0.02150913465078205,0.017653893598690917
severity,xgboost,0.7800882674146158,0.6412140033879165,0.7035522249165653,0.975537181426053,0.8174767394696207,0.6793979622969278,0.9696273291925467,0.03042294605909054,0.02852196596760901,0.025641670836351358,0.003412590507833832,0.021799517325966244,0.02767831706918592,0.011928435183393534
szz,decision_tree,0.1825153033890336,0.1849425287356322,0.18209716204328147,0.5871776776078036,0.04630486184654965,0.17255893877139739,0.3094252873563218,0.055202777768770035,0.0609362853200083,0.05499928918265077,0.030325278020361324,0.021582780456921517,0.05563428580281331,0.05914497722098454
szz,lightgbm,0.2858916308886864,0.2655172413793103,0.2732235259620789,0.9256731120886874,0.2298150466120943,0.2658126999207462,0.888735632183908,0.07906441279351692,0.09387364132917432,0.0848910515169918,0.02027902832554892,0.06570393741021913,0.08473163721982344,0.07287714878915666
szz,logistic_regression,0.05197983726727652,0.8318390804597702,0.09781804659025448,0.9220515420434958,0.19057597979336904,0.17783757454231228,0.8351724137931035,0.00318268696237187,0.07056895072181249,0.005879461804647369,0.015519916782789503,0.03534645738703993,0.01472611844117636,0.06604101540824568
szz,random_forest,0.31666666666666665,0.039999999999999994,0.06827485380116959,0.9272930174600958,0.25051299349318074,0.10485115286434517,0.9221839080459769,0.3638782865291737,0.05397759022884942,0.08852305981655044,0.02477888552843858,0.06693603003278051,0.12443143365867727,0.06875457309390619
szz,xgboost,0.39548534798534796,0.10045977011494253,0.15529178623713866,0.9365011850638314,0.24108181618048055,0.1897650976649197,0.9058620689655174,0.19416086786082842,0.06628728977414969,0.09227471784637462,0.013794626322116501,0.0680189676309295,0.1006421798576688,0.06056900523469448
