model,within_f1,within_pr_auc,lopo_f1,lopo_pr_auc,lopo_ce_at_20,lopo_roc_auc,is_best
lightgbm,0.8686169536031144,0.9457533833782301,0.726142412224842,0.8870929532121904,0.8242345152588438,0.9679005009891627,True
logistic_regression,0.7326313577621376,0.8493464463912739,0.6659284269285402,0.8625916511045285,0.8136774682227768,0.9603188756598506,False
random_forest,0.8577873684209536,0.9407027789605873,0.7024433111755825,0.881560600008273,0.829915149003847,0.9669966392936099,False
xgboost,0.8663395389018109,0.9452877213707108,0.7240907710121002,0.8844530153063039,0.8228424790106785,0.967662923303614,False
