model,f1_mean,roc_auc_mean,pr_auc_mean,ce_at_20_mean,f1_std,roc_auc_std,pr_auc_std,ce_at_20_std,n_projects_scored
lightgbm,0.726142412224842,0.9679005009891627,0.8870929532121904,0.8242345152588438,0.14037948922121593,0.026178841497670153,0.07403721541900647,0.11616993053376024,21
logistic_regression,0.6659284269285402,0.9603188756598506,0.8625916511045285,0.8136774682227768,0.1214313914673973,0.021425176019854872,0.05948544624717246,0.10521570341972446,21
random_forest,0.7024433111755825,0.9669966392936099,0.881560600008273,0.829915149003847,0.14300952259191974,0.02408262111864491,0.07498789662725758,0.12325362025081975,21
xgboost,0.7240907710121002,0.967662923303614,0.8844530153063039,0.8228424790106785,0.12872581111264672,0.022651015751460772,0.06700702464815038,0.10882167691848588,21
