variant,model,fold,n_train,n_test,n_pos_test,precision,recall,f1,roc_auc,pr_auc,mcc,ce_at_20
consequence,logistic_regression,1,21519,2392,354,0.3733528550512445,0.7203389830508474,0.4918032786885246,0.8455420457632662,0.5244641443043654,0.4012109063502428,0.6129943502824858
consequence,logistic_regression,2,21520,2391,354,0.3603723404255319,0.7655367231638418,0.49005424954792043,0.8370602886154169,0.5074796765694188,0.404936491844966,0.6016949152542372
consequence,logistic_regression,3,21520,2391,354,0.3651226158038147,0.7570621468926554,0.49264705882352944,0.8367919478351071,0.5063037930083948,0.4067839679321419,0.5790960451977402
consequence,logistic_regression,4,21520,2391,353,0.3635097493036212,0.7393767705382436,0.48739495798319327,0.8214630240723702,0.5057762528847957,0.39865963448138336,0.5694050991501416
consequence,logistic_regression,5,21520,2391,353,0.35966149506346967,0.7223796033994334,0.480225988700565,0.8271092861690209,0.46870205822347066,0.38804880508423506,0.5609065155807366
consequence,logistic_regression,6,21520,2391,353,0.36425648021828105,0.7563739376770539,0.49171270718232046,0.8495873029993857,0.5653345470401775,0.4060199967431159,0.6317280453257791
consequence,logistic_regression,7,21520,2391,353,0.37756497948016415,0.7818696883852692,0.5092250922509225,0.8526898281101009,0.5340126137120287,0.4301170454476639,0.6345609065155807
consequence,logistic_regression,8,21520,2391,353,0.34710743801652894,0.7138810198300283,0.46709916589434664,0.8265032373570712,0.5169540080855659,0.37130425608219475,0.5779036827195467
consequence,logistic_regression,9,21520,2391,353,0.3709677419354839,0.71671388101983,0.4888888888888889,0.8297948052164679,0.5026485622517177,0.39770390268831285,0.5807365439093485
consequence,logistic_regression,10,21520,2391,353,0.36363636363636365,0.7138810198300283,0.4818355640535373,0.8278362667393184,0.5430152312372272,0.38899179060097233,0.5977337110481586
consequence,decision_tree,1,21519,2392,354,0.3806734992679356,0.7344632768361582,0.5014464802314368,0.8441809018479399,0.5121462691049151,0.4142439567767998,0.6186440677966102
consequence,decision_tree,2,21520,2391,354,0.3795811518324607,0.8192090395480226,0.518783542039356,0.8596813470568494,0.563075522010115,0.44671959056390487,0.6468926553672316
consequence,decision_tree,3,21520,2391,354,0.3991291727140784,0.7768361581920904,0.5273250239693192,0.8627960415921277,0.5774234684603633,0.44979429833932305,0.6638418079096046
consequence,decision_tree,4,21520,2391,353,0.37083333333333335,0.7563739376770539,0.4976700838769804,0.8477448312098457,0.5742318075309154,0.4130049597667547,0.6090651558073654
consequence,decision_tree,5,21520,2391,353,0.38288288288288286,0.7223796033994334,0.5004906771344455,0.8304703550389624,0.519761539789007,0.4120546140910295,0.6090651558073654
consequence,decision_tree,6,21520,2391,353,0.4116766467065868,0.7790368271954674,0.5386875612144956,0.8569676153091266,0.5941027886183363,0.46345216487254837,0.6543909348441926
consequence,decision_tree,7,21520,2391,353,0.3879310344827586,0.7648725212464589,0.5147759771210677,0.8506812489053591,0.5561624675968264,0.434063174173405,0.6402266288951841
consequence,decision_tree,8,21520,2391,353,0.4059561128526646,0.7337110481586402,0.5227043390514632,0.8416294372920183,0.5411207130157125,0.43930495575182904,0.6515580736543909
consequence,decision_tree,9,21520,2391,353,0.38603988603988604,0.7677053824362606,0.5137440758293839,0.8487275754989476,0.546430546657778,0.43326681287105173,0.6345609065155807
consequence,decision_tree,10,21520,2391,353,0.3911764705882353,0.7535410764872521,0.5150048402710552,0.8506152229453416,0.5755031417989104,0.43280173467687316,0.6317280453257791
consequence,random_forest,1,21519,2392,354,0.7377777777777778,0.4689265536723164,0.5734024179620034,0.9185281903716395,0.7016889126103136,0.535195666332635,0.7711864406779662
consequence,random_forest,2,21520,2391,354,0.7016129032258065,0.4915254237288136,0.5780730897009967,0.9143653151166693,0.7052935207777944,0.5302248509650513,0.7627118644067796
consequence,random_forest,3,21520,2391,354,0.7125,0.4830508474576271,0.5757575757575758,0.9142266377108244,0.6955256751688481,0.5308713857573589,0.768361581920904
consequence,random_forest,4,21520,2391,353,0.7702702702702703,0.48441926345609065,0.5947826086956521,0.9166780184983889,0.7061256743347933,0.5615251179517735,0.7308781869688386
consequence,random_forest,5,21520,2391,353,0.7246376811594203,0.42492917847025496,0.5357142857142857,0.9085283300019183,0.6629074215065279,0.5007550482592185,0.7280453257790368
consequence,random_forest,6,21520,2391,353,0.7699115044247787,0.49291784702549574,0.6010362694300518,0.9233515055308904,0.7312827660786864,0.5667577010440857,0.7450424929178471
consequence,random_forest,7,21520,2391,353,0.725,0.49291784702549574,0.5868465430016864,0.9189493115229895,0.6998614284404349,0.5436564178495621,0.7450424929178471
consequence,random_forest,8,21520,2391,353,0.7476635514018691,0.45325779036827196,0.564373897707231,0.9083615275766109,0.6760535041495638,0.5303203523103562,0.71671388101983
consequence,random_forest,9,21520,2391,353,0.7763157894736842,0.5014164305949008,0.6092943201376936,0.9213964421042683,0.726364597831793,0.5753844556394719,0.7422096317280453
consequence,random_forest,10,21520,2391,353,0.7545454545454545,0.4702549575070821,0.5794066317626527,0.9107044066420725,0.6976396518435387,0.5446214847411617,0.7365439093484419
consequence,xgboost,1,21519,2392,354,0.7521367521367521,0.4971751412429379,0.5986394557823129,0.923296352356082,0.7195412394381729,0.5602472428515781,0.7457627118644068
consequence,xgboost,2,21520,2391,354,0.7242647058823529,0.556497175141243,0.6293929712460063,0.9174945707795612,0.7334459661772562,0.5812752313024385,0.751412429378531
consequence,xgboost,3,21520,2391,354,0.748,0.5282485875706214,0.6192052980132451,0.9188945191915663,0.7186770082557686,0.5772386331657978,0.7627118644067796
consequence,xgboost,4,21520,2391,353,0.7543859649122807,0.48725212464589235,0.5920826161790017,0.9226870758700833,0.7168041181495357,0.555313666205527,0.7620396600566572
consequence,xgboost,5,21520,2391,353,0.7431192660550459,0.45892351274787535,0.5674255691768827,0.9164173897088463,0.6984853160539789,0.5316886261766576,0.7507082152974505
consequence,xgboost,6,21520,2391,353,0.7754237288135594,0.5184135977337111,0.6213921901528013,0.9260453646996027,0.7362722163880794,0.5856452805314449,0.7535410764872521
consequence,xgboost,7,21520,2391,353,0.732,0.5184135977337111,0.6069651741293532,0.9187658288551515,0.7165531283103427,0.5629042596448021,0.7507082152974505
consequence,xgboost,8,21520,2391,353,0.7312775330396476,0.4702549575070821,0.5724137931034483,0.9038161614869881,0.6719027943358282,0.5328683185791088,0.7082152974504249
consequence,xgboost,9,21520,2391,353,0.7875,0.5354107648725213,0.6374367622259697,0.9208126336156929,0.7379355827511075,0.6025076508978925,0.7507082152974505
consequence,xgboost,10,21520,2391,353,0.7747747747747747,0.48725212464589235,0.5982608695652174,0.9120680164689595,0.7116404523657694,0.5655875290533717,0.7195467422096318
consequence,lightgbm,1,21519,2392,354,0.6297297297297297,0.6581920903954802,0.643646408839779,0.9199267588141691,0.7190720935782343,0.5803329380280599,0.7570621468926554
consequence,lightgbm,2,21520,2391,354,0.6108374384236454,0.7005649717514124,0.6526315789473685,0.91273654898502,0.728611047743779,0.5893073633851154,0.7429378531073446
consequence,lightgbm,3,21520,2391,354,0.6344086021505376,0.6666666666666666,0.650137741046832,0.917213749032725,0.7094733679645566,0.5878109783780823,0.7627118644067796
consequence,lightgbm,4,21520,2391,353,0.6276595744680851,0.6685552407932012,0.6474622770919067,0.921338756265516,0.715297707237643,0.5845319011308645,0.7507082152974505
consequence,lightgbm,5,21520,2391,353,0.6216216216216216,0.6515580736543909,0.636237897648686,0.915354719257618,0.6892090382550702,0.571705164989692,0.7337110481586402
consequence,lightgbm,6,21520,2391,353,0.6685393258426966,0.6742209631728046,0.6713681241184767,0.923352200540996,0.7357507597811783,0.6141709147339334,0.7620396600566572
consequence,lightgbm,7,21520,2391,353,0.6246786632390745,0.6883852691218131,0.6549865229110512,0.9201210985607732,0.7177219330132785,0.5927741189890351,0.7422096317280453
consequence,lightgbm,8,21520,2391,353,0.5977653631284916,0.6062322946175638,0.6019690576652602,0.9033769151003456,0.6733718440242802,0.5324751736397079,0.7110481586402266
consequence,lightgbm,9,21520,2391,353,0.6421052631578947,0.6912181303116147,0.6657571623465212,0.9190403578468032,0.7263261405377205,0.6059186823883425,0.7563739376770539
consequence,lightgbm,10,21520,2391,353,0.6264044943820225,0.6317280453257791,0.6290550070521862,0.9088153691754677,0.7011371333319593,0.5644917612642284,0.7450424929178471
severity,logistic_regression,1,21519,2392,231,0.5241730279898219,0.8917748917748918,0.6602564102564102,0.9654240561228068,0.7792942272811992,0.6418839489552385,0.9264069264069265
severity,logistic_regression,2,21520,2391,230,0.5195822454308094,0.8652173913043478,0.6492659053833605,0.9589481520230168,0.7240814364615237,0.6271111769934289,0.9217391304347826
