variant,model,precision_mean,recall_mean,f1_mean,roc_auc_mean,pr_auc_mean,mcc_mean,ce_at_20_mean,precision_std,recall_std,f1_std,roc_auc_std,pr_auc_std,mcc_std,ce_at_20_std
consequence,decision_tree,0.457697399310212,0.5742849826347209,0.5091695745349708,0.7280148948255002,0.3260332353661418,0.4166390328439945,0.5816464205118356,0.01392025227208136,0.03129565565771406,0.018635636657129057,0.014608326301465092,0.01582981362351672,0.021859823308435933,0.02642889995808509
consequence,lightgbm,0.6308083412313547,0.5918439205518478,0.6103487160700531,0.9042088961788854,0.679094255396629,0.5458827006172934,0.7135497191146108,0.027401310306118084,0.024679916583661532,0.021050664290262634,0.006013202787821725,0.021349612378473038,0.0246757308833218,0.01827771723482779
consequence,logistic_regression,0.38605371905980107,0.6385453177766041,0.48110771479339165,0.8182610908328944,0.48567487381194097,0.3818756379059245,0.5731630415646356,0.008504894796390421,0.017375367640881247,0.009446343761970392,0.009999363453833088,0.027382792066169358,0.012063542093322532,0.013071282606508486
consequence,random_forest,0.6114627341895208,0.6620300571373698,0.635268626512979,0.9139153197133434,0.69425454258379,0.5699866759308426,0.7353419439509611,0.023806041762206336,0.026754287688714313,0.017602627441629652,0.0063378940945757545,0.01917614851673016,0.020801225206583025,0.0215522541078886
consequence,svm,0.3588776672949458,0.7478057329428146,0.48491964136602805,0.8386261541263348,0.5094853660102274,0.3967960398935825,0.592985867703782,0.007235521213284279,0.022362539901657846,0.009472614344762598,0.0088629074916355,0.015897350918326197,0.013639381103291293,0.018054945717183753
consequence,xgboost,0.6104821038267834,0.5994870440613946,0.6046997662236816,0.9024915959996399,0.6750256146114288,0.5370662297562444,0.7098718010275124,0.0190451482062193,0.019907955605849785,0.014790809946602201,0.006479411773498411,0.019136431179642113,0.01742395851868558,0.01554187447560226
severity,decision_tree,0.5311673116031506,0.726677959721438,0.6134114947455591,0.8290429684976669,0.41235335866238126,0.5739845563482754,0.7496725014116319,0.019298682838552295,0.024660235377396995,0.01578339079980296,0.011615866195178617,0.01776512968852801,0.017861553962726828,0.021285094830054235
severity,lightgbm,0.6340039657559803,0.7925936382458122,0.7041374244004218,0.9730410477623004,0.8062336146229072,0.6741355875902956,0.9579070205157162,0.016411823088366754,0.0337214440990416,0.017609127547603083,0.0036479454851898554,0.021950721976972096,0.020456561115933202,0.013925857353859858
severity,logistic_regression,0.5253762243504194,0.8412045925089403,0.6466370369186099,0.9544418711060647,0.7457114557724128,0.6208473925526234,0.9080086580086579,0.018887608176110533,0.018176651531136387,0.01724282526371923,0.0077057962331423,0.020393001839542988,0.018766101096032436,0.021403178053001248
severity,random_forest,0.5584075886138792,0.8520496894409938,0.674480898424342,0.967906465832006,0.7575176388399325,0.6499415835481279,0.9561603613777526,0.024283752301191796,0.021574579476480688,0.022283567390522046,0.004616045493667781,0.02128979165192064,0.0244409061387315,0.020967449247049862
severity,svm,0.47791498128396437,0.8680971202710334,0.6162104189665311,0.9562064631806146,0.7150371612298542,0.5953611583797647,0.8993374741200828,0.022602508522586464,0.01688809728142143,0.020874551382281763,0.0045534090019195075,0.017755380723553996,0.021869279454429402,0.018433771750413417
severity,xgboost,0.6072965087063397,0.8216770186335405,0.6981357217870665,0.9724824080499124,0.801618903360368,0.6702314535264423,0.9570318087709392,0.02721239845473941,0.02256861081553792,0.022648621031789717,0.003808049401463162,0.020568302631837777,0.024773111615673058,0.017819657099707554
szz,decision_tree,0.1315620347447336,0.2625287356321839,0.17462680183410165,0.6203387941506041,0.04500844774257613,0.17113675117354737,0.37678160919540227,0.028147593902823263,0.062076533288235106,0.03750173703761255,0.030651711749577665,0.01491127999125914,0.04071452097273319,0.0645859285800666
szz,lightgbm,0.3187851617760454,0.27218390804597703,0.29096858894712596,0.9344157727793538,0.23838930750742623,0.28498049406872783,0.9193103448275861,0.0790235056655223,0.06574605470283686,0.06364139664405138,0.017932436746016016,0.057045843976481214,0.06525408452917242,0.04255047595926384
szz,logistic_regression,0.06985927672586902,0.6977011494252874,0.12692174435941772,0.9038467777859275,0.18189749200143085,0.19492309149071485,0.835287356321839,0.00826660656729716,0.07623847175594169,0.014508854013123068,0.018784453793784493,0.024434855832410403,0.02491794148078093,0.056867970168039406
szz,random_forest,0.2525163541809293,0.3025287356321839,0.2724895499607194,0.936201887743846,0.23663418087740737,0.264925368625447,0.9257471264367816,0.07182869141918627,0.08497942641564818,0.07146900179378861,0.019291604950888403,0.07466684052754967,0.07297412485840768,0.06190840592719382
szz,svm,0.07056401591366254,0.6901149425287356,0.12799857342675,0.8906609277126005,0.14270874753649038,0.1950867742773918,0.8045977011494253,0.008018142030997284,0.06729609937957724,0.014184997776366073,0.024183202020029406,0.051283984968060185,0.023966496164898085,0.05931648269843254
szz,xgboost,0.27367135208185267,0.3260919540229885,0.2944924516728856,0.9361677721050189,0.23782139604563302,0.2874117428358642,0.9057471264367816,0.06259812843052914,0.06466145847120551,0.057742410704089295,0.011025657069530657,0.05282403067347025,0.05773162160145545,0.05056890713224956
