variant,model,project_id,n,tp,fp,fn,tn,error_rate
consequence,random_forest,org.apache:dbcp,113,9,3,14,87,0.1504
consequence,random_forest,org.apache:digester,333,32,9,35,257,0.1321
consequence,random_forest,org.apache:felix,3737,129,36,249,3323,0.0763
consequence,random_forest,org.apache:hive,5307,529,147,511,4120,0.124
consequence,random_forest,org.apache:httpclient,697,43,16,97,541,0.1621
consequence,random_forest,org.apache:httpcore,782,35,7,76,664,0.1061
consequence,random_forest,org.apache:net,250,18,4,32,196,0.144
consequence,random_forest,org.apache:thrift,179,0,1,11,167,0.067
consequence,random_forest,org.apache:vfs,405,34,4,45,322,0.121
consequence,random_forest,org.apache:zookeeper,745,30,12,68,635,0.1074
consequence,svm,org.apache:archiva,1585,131,60,178,1216,0.1502
consequence,svm,org.apache:batik,1712,78,91,263,1280,0.2068
consequence,svm,org.apache:bcel,471,41,14,52,364,0.1401
consequence,svm,org.apache:cayenne,3570,45,54,285,3186,0.095
consequence,svm,org.apache:cocoon,2702,56,27,165,2454,0.0711
consequence,svm,org.apache:codec,117,7,1,17,92,0.1538
consequence,svm,org.apache:commons-cli,159,4,0,28,127,0.1761
consequence,svm,org.apache:commons-fileupload,50,1,5,8,36,0.26
consequence,svm,org.apache:commons-jelly,419,18,7,43,351,0.1193
consequence,svm,org.apache:commons-jexl,158,13,17,19,109,0.2278
consequence,svm,org.apache:configuration,408,28,16,53,311,0.1691
consequence,svm,org.apache:daemon,12,0,0,3,9,0.25
consequence,svm,org.apache:dbcp,113,10,8,13,82,0.1858
consequence,svm,org.apache:digester,333,15,8,52,258,0.1802
consequence,svm,org.apache:felix,3737,72,37,306,3322,0.0918
consequence,svm,org.apache:hive,5307,434,170,606,4097,0.1462
consequence,svm,org.apache:httpclient,697,34,31,106,526,0.1966
consequence,svm,org.apache:httpcore,782,30,34,81,637,0.1471
consequence,svm,org.apache:net,250,15,10,35,190,0.18
consequence,svm,org.apache:thrift,179,4,7,7,161,0.0782
consequence,svm,org.apache:vfs,405,22,11,57,315,0.1679
consequence,svm,org.apache:zookeeper,745,35,27,63,620,0.1208
consequence,xgboost,org.apache:archiva,1585,179,75,130,1201,0.1293
consequence,xgboost,org.apache:batik,1712,191,33,150,1338,0.1069
consequence,xgboost,org.apache:bcel,471,54,19,39,359,0.1231
consequence,xgboost,org.apache:cayenne,3570,117,25,213,3215,0.0667
consequence,xgboost,org.apache:cocoon,2702,73,33,148,2448,0.067
consequence,xgboost,org.apache:codec,117,16,6,8,87,0.1197
consequence,xgboost,org.apache:commons-cli,159,15,4,17,123,0.1321
consequence,xgboost,org.apache:commons-fileupload,50,2,3,7,38,0.2
consequence,xgboost,org.apache:commons-jelly,419,15,12,46,346,0.1384
consequence,xgboost,org.apache:commons-jexl,158,13,10,19,116,0.1835
consequence,xgboost,org.apache:configuration,408,36,15,45,312,0.1471
consequence,xgboost,org.apache:daemon,12,0,2,3,7,0.4167
consequence,xgboost,org.apache:dbcp,113,10,9,13,81,0.1947
consequence,xgboost,org.apache:digester,333,34,10,33,256,0.1291
consequence,xgboost,org.apache:felix,3737,156,54,222,3305,0.0739
consequence,xgboost,org.apache:hive,5307,560,179,480,4088,0.1242
consequence,xgboost,org.apache:httpclient,697,40,25,100,532,0.1793
consequence,xgboost,org.apache:httpcore,782,34,14,77,657,0.1164
consequence,xgboost,org.apache:net,250,24,7,26,193,0.132
consequence,xgboost,org.apache:thrift,179,0,2,11,166,0.0726
consequence,xgboost,org.apache:vfs,405,50,14,29,312,0.1062
consequence,xgboost,org.apache:zookeeper,745,32,25,66,622,0.1221
severity,decision_tree,org.apache:archiva,1585,39,32,49,1465,0.0511
severity,decision_tree,org.apache:batik,1712,150,88,75,1399,0.0952
severity,decision_tree,org.apache:bcel,471,40,19,20,392,0.0828
severity,decision_tree,org.apache:cayenne,3570,101,71,88,3310,0.0445
severity,decision_tree,org.apache:cocoon,2702,63,45,54,2540,0.0366
severity,decision_tree,org.apache:codec,117,0,5,2,110,0.0598
severity,decision_tree,org.apache:commons-cli,159,3,6,8,142,0.0881
severity,decision_tree,org.apache:commons-fileupload,50,1,1,3,45,0.08
severity,decision_tree,org.apache:commons-jelly,419,3,3,10,403,0.031
severity,decision_tree,org.apache:commons-jexl,158,10,3,6,139,0.057
severity,decision_tree,org.apache:configuration,408,11,9,14,374,0.0564
severity,decision_tree,org.apache:daemon,12,5,0,1,6,0.0833
severity,decision_tree,org.apache:dbcp,113,12,4,10,87,0.1239
severity,decision_tree,org.apache:digester,333,8,7,13,305,0.0601
severity,decision_tree,org.apache:felix,3737,384,160,190,3003,0.0937
severity,decision_tree,org.apache:hive,5307,481,198,188,4440,0.0727
severity,decision_tree,org.apache:httpclient,697,27,29,32,609,0.0875
severity,decision_tree,org.apache:httpcore,782,17,15,24,726,0.0499
severity,decision_tree,org.apache:net,250,26,17,16,191,0.132
severity,decision_tree,org.apache:thrift,179,15,4,10,150,0.0782
severity,decision_tree,org.apache:vfs,405,22,21,16,346,0.0914
severity,decision_tree,org.apache:zookeeper,745,28,24,30,663,0.0725
