variant,model,precision_mean,recall_mean,f1_mean,roc_auc_mean,pr_auc_mean,mcc_mean,ce_at_20_mean,precision_std,recall_std,f1_std,roc_auc_std,pr_auc_std,mcc_std,ce_at_20_std
consequence,decision_tree,0.3895880190700822,0.7608128871176838,0.5150632600739004,0.8493494576696519,0.5559958264582879,0.4338706261883519,0.6359973431923305,0.012653575452255823,0.02797115058179512,0.012835760292221023,0.009396603857571193,0.026295313082164973,0.017066286957283763,0.019045213172115497
consequence,lightgbm,0.6283750076143799,0.6637321745810727,0.6453251777668068,0.9161276473579434,0.71159710654677,0.5823518996927061,0.74638450088827,0.018702687064335928,0.028618559303012485,0.01972032968508762,0.006214157453333614,0.019070683084356978,0.022812032774899457,0.015579707857344326
consequence,logistic_regression,0.36455520589345036,0.7387413773787231,0.4880886952013748,0.8354378032877525,0.5174690887317162,0.3993776797255229,0.5946759814983755,0.008406289131614413,0.024838689320029306,0.010754465123453167,0.010741996967629749,0.02630090342579853,0.015296286857143774,0.025506398147774022
consequence,random_forest,0.7420234932279062,0.4763616139306349,0.579868763986983,0.9155089685076272,0.7002743152742295,0.5419312480850674,0.7446735807685536,0.02593782577710423,0.023063264897568773,0.020647574917869504,0.0052104321296750945,0.020320358507216453,0.02176802922001916,0.017982782427546768
consequence,xgboost,0.7522882725614413,0.5057841583841488,0.6043214699574239,0.9180297913032535,0.7161257822225839,0.565527643840862,0.7455354427746035,0.021150325893738157,0.030718134139960628,0.023198043013396244,0.006352308681851008,0.019684536332633805,0.02238098984364974,0.017684198762660308
severity,decision_tree,0.44716075109879244,0.9548654244306418,0.6089532520383563,0.9640865234684017,0.7647895140245586,0.6049763436293664,0.9461885940146809,0.014624649685432067,0.020006142648221634,0.015307201729847744,0.006465782107580666,0.023966098332695314,0.016858389054884224,0.017921975179381374
severity,lightgbm,0.6193813584038397,0.862473178994918,0.7207195400391032,0.9772481761641705,0.8311195268317018,0.6975768895024161,0.9674552983248634,0.022385901519810913,0.02249318777858308,0.018182053264605483,0.0032797081111649493,0.01795364242534659,0.01994635865935662,0.012852832178797175
severity,logistic_regression,0.520266407648552,0.8663561076604556,0.6499531294717315,0.9615554499184512,0.7586184499087045,0.62789766530242,0.9240617353660833,0.021381350119925868,0.025135494872314913,0.02149400781278637,0.005656028977679782,0.01750770897570553,0.02407188614923551,0.022038308073937845
severity,random_forest,0.7845376290405782,0.6286448334274422,0.697357377845206,0.9747311971280805,0.8109574950451716,0.6742522929596568,0.9678844344061736,0.02926550289438828,0.026562079829331682,0.01712718579385935,0.003915881967373409,0.022129566158071514,0.018185833959098837,0.013012305441218784
severity,xgboost,0.7963553224665899,0.6446621494447582,0.7122442194422559,0.9768833063482866,0.8284114281443917,0.6898454170985167,0.9726613965744401,0.023261688085204454,0.024656995327319062,0.019645798922271435,0.0037390365844834966,0.02144782010687775,0.02092133378666921,0.014352270954098339
szz,decision_tree,0.08093554608330371,0.6363218390804597,0.14351380590585952,0.7842802906508899,0.14645154560385137,0.2033233214681589,0.6833333333333333,0.008986465114044167,0.07044642451725089,0.015439958654185558,0.03509590648978317,0.05779204139968015,0.024648071051657016,0.0770243598791785
szz,lightgbm,0.2553881731092181,0.41068965517241385,0.3133856255918361,0.9465775451399608,0.2984846366776608,0.3123410246060158,0.9327586206896552,0.0533893993537444,0.09138561550012055,0.06133794759912355,0.014032653690430412,0.06943579485311038,0.06498620519141803,0.050307695211874545
szz,logistic_regression,0.05952633151974862,0.8218390804597702,0.11097882654628063,0.9261777015045164,0.22904666165389873,0.1934743560238364,0.8655172413793103,0.003886929539253578,0.09019062685664997,0.007387434035036598,0.022426209841679694,0.055753738135228076,0.020026226304896262,0.061036298626339296
szz,random_forest,0.5056349206349207,0.12080459770114942,0.18778565388859508,0.9444712853542168,0.27332658147627653,0.2357830552011083,0.9560919540229886,0.1942863518853874,0.07708379976149085,0.10175031285035861,0.014631985390309408,0.07319500749404725,0.10445588258333924,0.035867471839791984
szz,xgboost,0.385,0.07034482758620689,0.11769528001726144,0.9509257866624082,0.271627605156383,0.15904885557564558,0.9527586206896552,0.2747408820692169,0.05307253361414491,0.08735066278793165,0.010000730347078293,0.056728738730159614,0.11662257706377467,0.02873026769850173
