PROJECT_ID,CREATION_ANALYSIS_KEY,ISSUE_KEY,TYPE,RULE,SEVERITY,STATUS,RESOLUTION,EFFORT,DEBT,TAGS,CREATION_DATE,CLOSE_DATE,MESSAGE,COMPONENT,START_LINE,END_LINE,START_OFFSET,END_OFFSET,HASH,FROM_HOTSPOT,NOT_FOUND,CLOSE_ANALYSIS_KEY
org.apache:cayenne,AWd5_psxC4KKKThc-qK6,AWeF1RcPC4KKKThcBEZ8,CODE_SMELL,squid:S1133,INFO,OPEN,,10.0,10.0,obsolete,2007-01-21 11:11:02,,Do not forget to remove this deprecated code someday.,Apache_Cayenne:framework/cayenne-jdk1.5-unpublished/src/main/java/org/apache/cayenne/Fault.java,39.0,39.0,27.0,37.0,,,0,
org.apache:cayenne,AWd5_psxC4KKKThc-qK6,AWeF1RcRC4KKKThcBEZ9,CODE_SMELL,squid:S1133,INFO,OPEN,,10.0,10.0,obsolete,2007-01-21 11:11:02,,Do not forget to remove this deprecated code someday.,Apache_Cayenne:framework/cayenne-jdk1.5-unpublished/src/main/java/org/apache/cayenne/Fault.java,45.0,45.0,27.0,38.0,,,0,
org.apache:cayenne,AWd5_psxC4KKKThc-qK6,AWeF1RcSC4KKKThcBEZ-,CODE_SMELL,squid:S1133,INFO,OPEN,,10.0,10.0,obsolete,2007-01-21 11:11:02,,Do not forget to remove this deprecated code someday.,Apache_Cayenne:framework/cayenne-jdk1.5-unpublished/src/main/java/org/apache/cayenne/Fault.java,51.0,51.0,24.0,37.0,,,0,
