PROJECT_ID,ANALYSIS_KEY,COMPLEXITY,FILE_COMPLEXITY,COMPLEXITY_IN_CLASSES,CLASS_COMPLEXITY,COMPLEXITY_IN_FUNCTIONS,FUNCTION_COMPLEXITY,CLASS_COMPLEXITY_DISTRIBUTION,FUNCTION_COMPLEXITY_DISTRIBUTION,FILE_COMPLEXITY_DISTRIBUTION,XS,XS_PERCENT,TANGLE_DESIGN,FAT_CLASS,FAT_DESIGN,FAT_LEAF_PACKAGE,FAT_METHOD,COGNITIVE_COMPLEXITY,TESTS,TEST_EXECUTION_TIME,TEST_ERRORS,SKIPPED_TESTS,TEST_FAILURES,TEST_SUCCESS_DENSITY,TEST_DATA,COVERAGE,NEW_COVERAGE,LINES_TO_COVER,NEW_LINES_TO_COVER,UNCOVERED_LINES,NEW_UNCOVERED_LINES,LINE_COVERAGE,NEW_LINE_COVERAGE,COVERAGE_LINE_HITS_DATA,CONDITIONS_TO_COVER,NEW_CONDITIONS_TO_COVER,UNCOVERED_CONDITIONS,NEW_UNCOVERED_CONDITIONS,BRANCH_COVERAGE,NEW_BRANCH_COVERAGE,CONDITIONS_BY_LINE,COVERED_CONDITIONS_BY_LINE,IT_COVERAGE,NEW_IT_COVERAGE,IT_LINES_TO_COVER,NEW_IT_LINES_TO_COVER,IT_UNCOVERED_LINES,NEW_IT_UNCOVERED_LINES,IT_LINE_COVERAGE,NEW_IT_LINE_COVERAGE,IT_COVERAGE_LINE_HITS_DATA,IT_CONDITIONS_TO_COVER,NEW_IT_CONDITIONS_TO_COVER,IT_UNCOVERED_CONDITIONS,NEW_IT_UNCOVERED_CONDITIONS,IT_BRANCH_COVERAGE,NEW_IT_BRANCH_COVERAGE,IT_CONDITIONS_BY_LINE,IT_COVERED_CONDITIONS_BY_LINE,OVERALL_COVERAGE,NEW_OVERALL_COVERAGE,OVERALL_LINES_TO_COVER,NEW_OVERALL_LINES_TO_COVER,OVERALL_UNCOVERED_LINES,NEW_OVERALL_UNCOVERED_LINES,OVERALL_LINE_COVERAGE,NEW_OVERALL_LINE_COVEERAGE,OVERALL_COVERAGE_LINE_HITS_DATA,OVERALL_CONDITIONS_TO_COVER,NEW_OVERALL_CONDITIONS_TO_COVER,OVERALL_UNCOVERED_CONDITIONS,NEW_OVERALL_UNCOVERED_CONDITIONS,OVERALL_BRANCH_COVERAGE,NEW_OVERALL_BRANCH_COVERAGE,OVERALL_CONDITIONS_BY_LINE,OVERALL_COVERED_CONDITIONS_BY_LINE,EXECUTABLE_LINES_DATA,ARCH_VIOLATIONS,ARCH_VIOLATIONS_WEIGHTED,PUBLIC_API,PUBLIC_DOCUMENTED_API_DENSITY,PUBLIC_UNDOCUMENTED_API,COMMENTED_OUT_CODE_LINES,DUPLICATED_LINES,DUPLICATED_BLOCKS,DUPLICATED_FILES,DUPLICATED_LINES_DENSITY,DUPLICATIONS_DATA,NEW_DUPLICATED_LINES,NEW_DUPLICATED_BLOCKS,NEW_DUPLICATED_LINES_DENSITY,QUALITY_GATE_DETAILS,QUALITY_PROFILES,ARCH_DIAGRAMS,S101.BUILDBREAKER,STRUCTURE101_WEB_APPLICATION_URL,PROJECT,VIOLATIONS,BLOCKER_VIOLATIONS,CRITICAL_VIOLATIONS,MAJOR_VIOLATIONS,MINOR_VIOLATIONS,INFO_VIOLATIONS,NEW_VIOLATIONS,NEW_BLOCKER_VIOLATIONS,NEW_CRITICAL_VIOLATIONS,NEW_MAJOR_VIOLATIONS,NEW_MINOR_VIOLATIONS,NEW_INFO_VIOLATIONS,FALSE_POSITIVE_ISSUES,OPEN_ISSUES,REOPENED_ISSUES,CONFIRMED_ISSUES,WONT_FIX_ISSUES,AFFERENT_COUPLINGS,EFFERENT_COUPLINGS,NUMBER_OF_CLASSES_AND_INTERFACES,PACKAGE_DEPENDENCY_CYCLES,MISSING_PACKAGE_INFO,PACKAGE,MISSING_PACKAGE_INFO_COUNT,PACKAGE_COUNT,PACKAGE_INFO_COUNT,JAVA_COUNT,SQALE_INDEX,NEW_TECHNICAL_DEBT,SQALE_RATING,DEVELOPMENT_COST,SQALE_DEBT_RATIO,NEW_SQALE_DEBT_RATION,CODE_SMELLS,NEW_CODE_SMELLS,EFFORT_TO_REACH_MAINTAINABILITY_RATING_A,NEW_MAINTAINABILITY_RATING,BURNED_BUDGET,BUSINESS_VALUE,TEAM_SIZE,FAT_METHOD_LIST,S101_MODEL_NAME,S101_MODEL_SEQUENTIAL_ACTIONS,S101_MODEL_REFACTORING_ACTIONS,S101_MODEL_CLASS_MAPPINGS,S101_MODEL_ALIGNMENT,ALERT_STATUS,BUGS,NEW_BUGS,RELIABILITY_REMEDIATION_EFFORT,NEW_RELIABILITY_REMEDIATION_EFFORT,RELIABILITY_RATING,NEW_RELIABILITY_RATING,LAST_COMMIT_DATE,VULNERABILITIES,NEW_VULNERABILITIES,SECURITY_REMEDIATION_EFFORT,NEW_SECURITY_REMEDIATION_EFFORT,SECURITY_RATING,NEW_SECURITY_RATING,LINES,GENERATED_LINES,NCLOC,NCLOC_LANGUAGE_DISTRIBUTION,GENERATED_NCLOC,CLASSES,FILES,DIRECTORIES,FUNCTIONS,ACCESSORS,STATEMENTS,PROJECTS,COMMENT_LINES,COMMENT_LINES_DENSITY,NCLOC_DATA,COMMENT_LINES_DATA,NEW_LINES,sg_i.CORE_VIOLATIONS_COMPONENT_DEPENDENCIES,sg_i.CORE_BIGGEST_COMPONENT_CYCLE_GROUP,sg_i.CORE_UNASSIGNED_COMPONENTS,sg_i.CORE_EMPTY_ARTIFACT_COUNT,sg_i.CORE_LINES_OF_CODE,sg_i.CORE_NCCD,sg_i.CORE_DUPLICATES,sg_i.CORE_COMPONENT_DEPENDENCIES_TO_REMOVE_COMPONENTS,sg_i.CORE_CODE_COMMENT_LINES,sg_i.CORE_IGNORED_DUPLICATES,sg_i.CORE_THRESHOLD_VIOLATIONS,sg_i.CORE_COMMENT_LINES,sg_i.CORE_RELATIVE_CYCLICITY_COMPONENTS,sg_i.CORE_IGNORED_VIOLATIONS_PARSER_DEPENDENCIES,sg_i.CORE_CYCLIC_COMPONENTS,sg_i.JAVA_RELATIVE_CYCLICITY_PACKAGES,sg_i.CORE_VIOLATIONS_PARSER_DEPENDENCIES,sg_i.JAVA_COMPONENT_DEPENDENCIES_TO_REMOVE_PACKAGES,sg_i.CORE_TOTAL_LINES,sg_i.CORE_ARTIFACT_COUNT,sg_i.JAVA_IGNORED_CYCLIC_PACKAGES,sg_i.CORE_STRUCTURAL_DEBT_INDEX_COMPONENTS,sg_i.CORE_ACD,sg_i.JAVA_STRUCTURAL_DEBT_INDEX_PACKAGES,sg_i.JAVA_CYCLICITY_PACKAGES,sg_i.CORE_CCD,sg_i.CORE_VIOLATING_COMPONENTS,sg_i.JAVA_PACKAGES,sg_i.JAVA_CYCLIC_PACKAGES,sg_i.CORE_COMPONENTS,sg_i.CORE_MAX_ACD,sg_i.CORE_RACD,sg_i.CORE_COMPONENT_CYCLE_GROUPS,sg_i.CORE_PARSER_DEPENDENCIES_TO_REMOVE_COMPONENTS,sg_i.JAVA_BYTE_CODE_INSTRUCTIONS,sg_i.CORE_STATEMENTS,sg_i.JAVA_BIGGEST_PACKAGE_CYCLE_GROUP,sg_i.CORE_IGNORED_THRESHOLD_VIOLATIONS,sg_i.CORE_SOURCE_ELEMENT_COUNT,sg_i.CORE_IGNORED_CYCLIC_COMPONENTS,sg_i.JAVA_PACKAGE_CYCLE_GROUPS,sg_i.PERCENTAGEOFDEADCODE,sg_i.CORE_CYCLICITY_COMPONENTS,sg_i.CORE_DUPLICATED_LINES,sg_i.JAVA_PARSER_DEPENDENCIES_TO_REMOVE_PACKAGES,sg_i.STRUCTURAL_DEBT_COST,sg_i.CURRENT_VIRTUAL_MODEL,sg_i.VIRTUAL_MODEL_FEATURE_AVAILABLE,sg_i.NUMBER_OF_TASKS,sg_i.NUMBER_OF_UNAPPLICABLE_TASKS,sg_i.NUMBER_OF_RESOLUTIONS,sg_i.NUMBER_OF_UNAPPLICABLE_RESOLUTIONS,sg_i.NUMBER_OF_REFACTORINGS,sg_i.NUMBER_OF_UNAPPLICABLE_REFACTORINGS,sg_i.NUMBER_OF_PARSER_DEPENDENCIES_AFFECTED_BY_REFACTORINGS,sg_i.JAVA_CYCLIC_PACKAGES_PERCENT,sg_i.MAX_MODULE_NCCD,sg_i.ARCHITECTURE_FEATURE_AVAILABLE,sg_i.NUMBER_OF_ISSUES,sg_i.NUMBER_OF_CRITICAL_ISSUES_WITHOUT_RESOLUTION,sg_i.VIOLATING_COMPONENTS_PERCENT,sg_i.UNASSIGNED_COMPONENTS_PERCENT,sg_i.NUMBER_OF_THRESHOLD_VIOLATIONS,sg_i.NUMBER_OF_WORKSPACE_WARNINGS,sg_i.NUMBER_OF_IGNORED_CRITICAL_ISSUES
org.apache:cayenne,AWedEXD3C4KKKThcCqHV,30703,11.5,30387,10.9,29441,1.7,,"1=11568,2=2821,4=891,6=307,8=164,10=97,12=147","0=1306,5=535,10=396,20=175,30=170,60=46,90=34",,,,,,,,21021,,,,,,,,0,0,98298,24725,98298,24725,0,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19476,1565,408,5.6,,7317,1182,8.45504968800555,"{""level"":""ERROR"";""conditions"":[{""metric"":""blocker_violations"";""op"":""GT"";""error"":""0"";""actual"":""103"";""level"":""ERROR""};{""metric"":""critical_violations"";""op"":""GT"";""period"":1;""error"":""0"";""actual"":""24"";""level"":""ERROR""};{""metric"":""new_coverage"";""op"":""LT"";""period"":1;""error"":""80"";""actual"":""0.0"";""level"":""ERROR""};{""metric"":""open_issues"";""op"":""GT"";""warning"":""0"";""actual"":""16006"";""level"":""WARN""};{""metric"":""reopened_issues"";""op"":""GT"";""warning"":""0"";""actual"":""0"";""level"":""OK""}]}","[{""key"":""css-sonar-way-41536"";""language"":""css"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:11+0000""};{""key"":""java-sonar-way-04122"";""language"":""java"";""name"":""Sonar way"";""rulesUpdatedAt"":""2017-03-16T16:05:56+0000""};{""key"":""web-sonar-way-10911"";""language"":""web"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:15+0000""};{""key"":""xml-sonar-way-37996"";""language"":""xml"";""name"":""Sonar way"";""rulesUpdatedAt"":""2016-02-08T15:14:04+0000""}]",,,,,16006,103,560,7432,7314,597,3911,4,94,2107,1572,134,0,16006,0,0,0,0,0,0,0,204,204,204,204,,,223271,41360,1,6207000,3.6,2.40140615542208,14277,3236,0,1,,,,,,,,,,ERROR,1606,651,14092,6294,5,4,2008-07-07 12:31:47,123,24,1995,380,4,4,347513,,206900,"css=236,java=172713,web=16138,xml=17813",,2793,2899,475,16830,,77095,,25329,10.9,,,86540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.apache:cayenne,AWedCu_QC4KKKThcCqGv,30703,11.5,,10.9,,1.7,,"1=11568,2=2821,4=891,6=307,8=164,10=97,12=147","0=1306,5=535,10=396,20=175,30=170,60=46,90=34",,,,,,,,21021,,,,,,,,0,,98298,,98298,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19476,1565,408,5.6,,,,,"{""level"":""ERROR"";""conditions"":[{""metric"":""blocker_violations"";""op"":""GT"";""error"":""0"";""actual"":""103"";""level"":""ERROR""};{""metric"":""critical_violations"";""op"":""GT"";""period"":1;""error"":""0"";""actual"":""24"";""level"":""ERROR""};{""metric"":""new_coverage"";""op"":""LT"";""period"":1;""error"":""80"";""actual"":""0.0"";""level"":""ERROR""};{""metric"":""open_issues"";""op"":""GT"";""warning"":""0"";""actual"":""16006"";""level"":""WARN""};{""metric"":""reopened_issues"";""op"":""GT"";""warning"":""0"";""actual"":""0"";""level"":""OK""}]}","[{""key"":""css-sonar-way-41536"";""language"":""css"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:11+0000""};{""key"":""java-sonar-way-04122"";""language"":""java"";""name"":""Sonar way"";""rulesUpdatedAt"":""2017-03-16T16:05:56+0000""};{""key"":""web-sonar-way-10911"";""language"":""web"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:15+0000""};{""key"":""xml-sonar-way-37996"";""language"":""xml"";""name"":""Sonar way"";""rulesUpdatedAt"":""2016-02-08T15:14:04+0000""}]",,,,,16006,103,560,7432,7314,597,,,,,,,0,16006,0,0,0,0,0,0,0,204,204,,,,,223271,,1,6207000,3.6,2.39616799366764,14277,,0,,,,,,,,,,,ERROR,1606,,14092,,5,,2008-07-07 12:31:47,123,,1995,,4,,347513,,206900,"css=236,java=172713,web=16138,xml=17813",,2793,2899,475,16830,,77095,,25329,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.apache:cayenne,AWedBDbIC4KKKThcCqGA,30703,11.5,,10.9,,1.7,,"1=11568,2=2821,4=891,6=307,8=164,10=97,12=147","0=1306,5=535,10=396,20=175,30=170,60=46,90=34",,,,,,,,21024,,,,,,,,0,,98306,,98306,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19516,1567,409,5.6,,,,,"{""level"":""ERROR"";""conditions"":[{""metric"":""blocker_violations"";""op"":""GT"";""error"":""0"";""actual"":""103"";""level"":""ERROR""};{""metric"":""critical_violations"";""op"":""GT"";""period"":1;""error"":""0"";""actual"":""24"";""level"":""ERROR""};{""metric"":""new_coverage"";""op"":""LT"";""period"":1;""error"":""80"";""actual"":""0.0"";""level"":""ERROR""};{""metric"":""open_issues"";""op"":""GT"";""warning"":""0"";""actual"":""16004"";""level"":""WARN""};{""metric"":""reopened_issues"";""op"":""GT"";""warning"":""0"";""actual"":""0"";""level"":""OK""}]}","[{""key"":""css-sonar-way-41536"";""language"":""css"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:11+0000""};{""key"":""java-sonar-way-04122"";""language"":""java"";""name"":""Sonar way"";""rulesUpdatedAt"":""2017-03-16T16:05:56+0000""};{""key"":""web-sonar-way-10911"";""language"":""web"";""name"":""Sonar way"";""rulesUpdatedAt"":""2015-09-15T13:25:15+0000""};{""key"":""xml-sonar-way-37996"";""language"":""xml"";""name"":""Sonar way"";""rulesUpdatedAt"":""2016-02-08T15:14:04+0000""}]",,,,,16004,103,560,7431,7315,595,,,,,,,0,16004,0,0,0,0,0,0,0,204,204,,,,,223285,,1,6207330,3.6,2.4017416410543,14275,,0,,,,,,,,,,,ERROR,1606,,14092,,5,,2008-07-05 18:54:27,123,,1995,,4,,347522,,206911,"css=236,java=172724,web=16138,xml=17813",,2793,2899,475,16830,,77101,,25329,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
