feature
ncloc
complexity
cognitive_complexity
functions
classes
n_code_smells
n_bugs
total_debt_minutes
issue_density
duplicated_lines_density
total_commits_pre
code_churn_pre
recent_churn_90d
commit_frequency_30d
file_age_days
days_since_last_change
contributor_count
ownership_ratio
cocg_degree
cocg_pagerank
cocg_betweenness
cocg_entropy
bugfix_commits_pre
bugfix_commits_90d
bug_density_pre
n_jira_bugs_pre
jira_blocker_flag
